name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock,player_img
Anderson Varejao,Golden State Warriors,2016-03-06,2015,2419,1610612744,400828818,3,1,55,1,Cutting Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,0,1,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-04-01,2015,2419,1610612744,400829023,1,0,27,1,Cutting Layup Shot,2PT Field Goal,2,Boston Celtics,15,16,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-11,2015,2419,1610612744,400828858,4,10,42,0,Driving Bank shot,2PT Field Goal,13,Portland Trail Blazers,127,43,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-14,2015,2419,1610612744,400828883,2,9,18,1,Driving Hook Shot,2PT Field Goal,7,New Orleans Pelicans,-25,75,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-02-25,2015,2419,1610612744,400828742,3,0,39,1,Driving Layup Shot,2PT Field Goal,2,Orlando Magic,19,16,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-16,2015,2419,1610612744,400828898,2,7,55,1,Driving Layup Shot,2PT Field Goal,1,New York Knicks,12,11,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-11,2015,2419,1610612744,400828858,2,6,41,1,Driving Layup Shot,2PT Field Goal,2,Portland Trail Blazers,20,11,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-02-24,2015,2419,1610612744,400828735,1,2,24,0,Floating Jump shot,2PT Field Goal,4,Miami Heat,9,47,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-11,2015,2419,1610612744,400828858,2,8,43,1,Hook Shot,2PT Field Goal,5,Portland Trail Blazers,-24,52,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-04-09,2015,2419,1610612744,400829077,2,11,0,0,Jump Shot,2PT Field Goal,18,Memphis Grizzlies,-47,174,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-09,2015,2419,1610612744,400828845,1,3,47,1,Jump Shot,2PT Field Goal,15,Utah Jazz,150,11,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-09,2015,2419,1610612744,400828845,2,10,25,1,Jump Shot,2PT Field Goal,15,Utah Jazz,-1,156,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-11,2015,2419,1610612744,400828858,4,7,35,0,Jump Shot,2PT Field Goal,16,Portland Trail Blazers,-88,139,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-11,2015,2419,1610612744,400828858,2,10,26,0,Jump Shot,2PT Field Goal,18,Portland Trail Blazers,-115,149,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-06,2015,2419,1610612744,400828818,4,10,37,1,Jump Shot,2PT Field Goal,17,Los Angeles Lakers,-99,149,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-16,2015,2419,1610612744,400828898,2,6,16,0,Jump Shot,2PT Field Goal,4,New York Knicks,35,26,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-30,2015,2419,1610612744,400829006,3,2,10,0,Jump Shot,2PT Field Goal,19,Utah Jazz,-110,159,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-30,2015,2419,1610612744,400829006,3,1,37,0,Jump Shot,2PT Field Goal,17,Utah Jazz,64,159,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-02-25,2015,2419,1610612744,400828742,3,3,43,0,Jump Shot,2PT Field Goal,17,Orlando Magic,-68,159,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-12,2015,2419,1610612744,400828868,2,4,49,0,Jump Shot,2PT Field Goal,16,Phoenix Suns,117,121,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-03-12,2015,2419,1610612744,400828868,2,4,24,0,Jump Shot,2PT Field Goal,17,Phoenix Suns,174,41,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-02-24,2015,2419,1610612744,400828735,1,4,13,0,Jump Shot,2PT Field Goal,14,Miami Heat,66,134,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-04-01,2015,2419,1610612744,400829023,1,1,2,0,Jump Shot,2PT Field Goal,19,Boston Celtics,119,149,0,0,,0,0,./assets/anderson_varejao.png
