name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock,player_img
Andre Iguodala,Golden State Warriors,2015-02-09,2014,2386,1610612744,400579067,4,9,44,1,Alley Oop Dunk Shot,2PT Field Goal,0,Philadelphia 76ers,0,1,0,1.2,"Noel, Nerlens",6.6,10.6,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2015-03-24,2014,2386,1610612744,400579351,4,0,39,1,Alley Oop Dunk Shot,2PT Field Goal,0,Portland Trail Blazers,0,1,3,5.6,"Blake, Steve",1.1,20.5,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2015-01-21,2014,0,1610612744,0,3,3,11,1,Alley Oop Dunk Shot,2PT Field Goal,0,Houston Rockets,0,1,1,0.6,"Dorsey, Joey",4.4,24,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2014-11-08,2014,2386,1610612744,400578379,3,8,3,1,Alley Oop Dunk Shot,2PT Field Goal,0,Houston Rockets,0,1,0,1.2,"Papanikolaou, Kostas",1.1,9,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2015-03-27,2014,2386,1610612744,400579374,2,7,58,0,Alley Oop Dunk Shot,2PT Field Goal,0,Memphis Grizzlies,0,1,0,5.5,"Koufos, Kosta",3,14.3,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2014-11-02,2014,2386,1610612744,400578334,2,9,42,1,Driving Dunk Shot,2PT Field Goal,0,Portland Trail Blazers,0,1,1,1.2,"Blake, Steve",0.4,20.7,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2015-02-09,2014,2386,1610612744,400579067,3,2,38,1,Driving Dunk Shot,2PT Field Goal,0,Philadelphia 76ers,0,1,0,1.6,"Mbah a Moute, Luc",2.7,21.4,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2014-11-16,2014,2386,1610612744,400578437,3,1,32,1,Driving Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,0,1,0,2,"Bryant, Kobe",11.3,22.6,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2015-01-13,2014,2386,1610612744,400578863,4,9,45,1,Driving Dunk Shot,2PT Field Goal,0,Utah Jazz,0,1,5,4.4,"Millsap, Elijah",1.1,20,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2014-11-05,2014,2386,1610612744,400578360,3,1,44,1,Driving Finger Roll Layup Shot,2PT Field Goal,1,Los Angeles Clippers,-4,17,6,4.6,"Crawford, Jamal",3.8,18,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2015-01-14,2014,2386,1610612744,400578874,4,2,0,1,Driving Finger Roll Layup Shot,2PT Field Goal,1,Miami Heat,10,11,11,11.1,"Bosh, Chris",2.8,11,./assets/andre_iguodala.png
